term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_lb,N_HB_K12_All_lb,0.08701696754076678,0.05027415635259323,1.730848886463279,0.0835
N_HB_OD_Long_lb,N_HB_OD_All_lb,0.08138149818184463,0.02270094663303457,3.5849385268990384,3.4e-4
N_HB_OD_Short_lb,N_HB_OD_All_lb,0.08138149818184463,0.02270094663303457,3.5849385268990384,3.4e-4
N_HB_OD_Long_walkbike,N_HB_OD_Long_walkbike,0.042176988060212195,0.007835231855238645,5.382991702027632,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.01436317433949427,0.005571178788139269,2.57812123532504,0.00995
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.013599622754807278,0.004012419273310095,3.389382272503168,7e-4
N_HB_OD_Long_auto_pay,N_HB_O_All_auto_pay,0.44915846748834715,0.019936516751835633,22.52943546153775,0
N_HB_OD_Short_auto_pay,N_HB_O_All_auto_pay,0.44915846748834715,0.019936516751835633,22.52943546153775,0
N_HB_OME_All_auto_pay,N_HB_O_All_auto_pay,0.44915846748834715,0.019936516751835633,22.52943546153775,0
N_HB_OMED_All_auto_pay,N_HB_O_All_auto_pay,0.44915846748834715,0.019936516751835633,22.52943546153775,0
N_HB_OME_All_hov2,N_HB_OME_All_hov,0.008790473555747412,0.002785956389182328,3.155280387690274,0.00161
N_HB_OME_All_hov3,N_HB_OME_All_hov,0.008790473555747412,0.002785956389182328,3.155280387690274,0.00161
N_HB_OME_All_sov,N_HB_OME_All_sov,0.02547338663610823,0.003543172478808986,7.189428905439833,0
N_HB_OME_All_lb,N_HB_OME_All_lb,0.06247704016431642,0.028535654310631133,2.1894377989097036,0.02858
N_HB_OME_All_walkbike,N_HB_OME_All_walkbike,0.19911718174709891,0.008983224746032583,22.165445858964897,0
N_HB_OMED_All_walkbike,N_HB_OME_All_walkbike,0.19911718174709891,0.008983224746032583,22.165445858964897,0
N_HB_OMED_All_hov2,N_HB_OMED_All_hov,0.021465345321188715,0.010365473919683215,2.070850352575556,0.03839
N_HB_OMED_All_hov3,N_HB_OMED_All_hov,0.021465345321188715,0.010365473919683215,2.070850352575556,0.03839
alpha,NA,1.0055746395693541,0.013835122065776737,-80.07870460626091,0
gamma,NA,0.017097008285252655,0.018364611641884476,0.9309757602637904,0.35188
r_sq,NA,0.2938432336542851,NA,NA,NA
