Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,-0.1064,Constant
sov,Constant,v0,-99,Auto Availability
sov,sov_skim.CongTime,,-0.1478,Travel time
hov2,Constant,,-0.2817,Constant
hov2,hov_skim.CongTime,,-0.1478,Travel time
hov2,se.LargeHHPct.O,,0.4896,Large household percentage
hov3,Constant,,-0.02895,Constant
hov3,hov_skim.CongTime,,-0.1478,Travel time
hov3,se.LargeHHPct.O,,0.4896,Large household percentage
other_auto,Constant,,-1.248,Constant
other_auto,sov_skim.CongTime,,-0.1693,Travel time
w_lb,Constant,v0,0.58,Zero-vehicle households
w_lb,se.HiIncomePct.O,,-2.443,High income household percentage
w_lb,w_lb_skim.[In-Vehicle Time],,-0.02129,IVTT
w_lb, w_lb_skim.Fare,,-0.1074,Fare
w_lb,w_lb_skim.[Access Walk Time],,-0.09,Access walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.0826,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.062,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
school_bus,Constant,,0.4661,Constant
school_bus,Constant,v0,0.1219,Zero-vehicle households
school_bus,sov_skim.CongTime,,-0.2014,Travel time
other_auto,Constant,v0,-1.487627,Additional Calibration Constant
school_bus,Constant,v0,-1.001922,Additional Calibration Constant
sov,Constant,vi,-2.015309,Additional Calibration Constant
hov2,Constant,vi,-1.695911,Additional Calibration Constant
hov3,Constant,vi,-1.505762,Additional Calibration Constant
other_auto,Constant,vi,-1.587573,Additional Calibration Constant
school_bus,Constant,vi,-1.485081,Additional Calibration Constant
sov,Constant,vs,-0.191632,Additional Calibration Constant
hov2,Constant,vs,0.06579,Additional Calibration Constant
hov3,Constant,vs,0.053911,Additional Calibration Constant
other_auto,Constant,vs,-0.204953,Additional Calibration Constant
school_bus,Constant,vs,-0.211202,Additional Calibration Constant
