Alternative,Expression,Segment,Coefficient,Description
sov,Constant,v0,-99,Auto Availability
sov,Constant,,-10.668,Constant
sov,parking.MC_LS_Work.D,,0.714,Parking
sov,se.HiIncomePct.O,,1.529,High income
sov,sov_skim.CongTime,,-0.036625,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.184695,Toll cost
hov2,Constant,v0,-99,Auto Availability
hov2,Constant,vi,0.824,Vehicle insufficient households
hov2,Constant,,-10.791,Constant
hov2,parking.MC_LS_Work.D,,0.714,Parking
hov2,se.HiIncomePct.O,,1.529,High income
hov2,hov_skim.CongTime,,-0.036625,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.184695,Toll cost
hov2,se.HHSize1Pct.O,,-2.2933,Percent of 1-person HHs
hov3,Constant,v0,-99,Auto Availability
hov3,Constant,vi,0.824,Vehicle insufficient households
hov3,Constant,,-11.54,Constant
hov3,parking.MC_LS_Work.D,,0.714,Parking
hov3,se.HiIncomePct.O,,1.529,High income
hov3,hov_skim.CongTime,,-0.036625,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.184695,Toll cost
hov3,se.HHSize1Pct.O,,-2.2933,Percent of 1-person HHs
other_auto,Constant,v0,4.783145,Zero-vehicle households
other_auto,Constant,vi,4.233145,Vehicle insufficient households
other_auto,Constant,,-8.287,Constant
other_auto,sov_skim.CongTime,,-0.0247,Travel time
auto_pay,Constant,v0,4.783145,Zero-vehicle households
auto_pay,Constant,vi,4.233145,Vehicle insufficient households
auto_pay,Constant,,-6.51,Constant
auto_pay,hov_skim.CongTime,,-0.0247,Travel time
auto_pay,se.PKTNCWait.O,,-0.0247,Auto wait time
auto_pay,hov_skim.auto_pay_fare,,-0.00675,Auto fare
auto_pay,se.Enplanements.O > 0 or se.Enplanements.D > 0,,3.93,Airport related
w_lb,Constant,v0,5.9831,Zero-vehicle households
w_lb,Constant,vi,6.6581,Vehicle insufficient households
w_lb,Constant,,-2.25,Constant
w_lb,w_lb_skim.[In-Vehicle Time],,-0.046,IVTT and Fare (converted by VOT)
w_lb,w_lb_skim.Fare,,-0.232,Fare
w_lb,w_lb_skim.[Access Walk Time],,-0.1138,Access walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
w_eb,Constant,v0,5.9831,Zero-vehicle households
w_eb,Constant,vi,6.6581,Vehicle insufficient households
w_eb,Constant,,-3.769,Constant
w_eb,w_eb_skim.[In-Vehicle Time],,-0.046,IVTT and Fare (converted by VOT)
w_eb,w_eb_skim.Fare,,-0.232,Fare
w_eb,w_eb_skim.[Access Walk Time],,-0.1138,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
