ProjID,AMHeadway,MDHeadway,PMHeadway,NTHeadway
30,,,,
32,60,60,60,60
33,,,,
34,15,,15,
36,5,,5,
37,,,,
38,,,,
40,30,35,20,35
42,,,,
43,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
53,,,,
88,,,,
118,,,,
119,,,,
120,,,,
123,,,,
124,,,,
126,,,,
131,,,,
135,,,,
136,,,,
143,,,,
148,,,,
2801,,,,
2802,,,,
2803,,,,
2804,,,,
2805,,,,
2806,,,,
2807,,,,
2808,,,,
2809,,,,
2810,,,,
2811,,,,
2812,,,,
2813,,,,
2814,,,,60
2815,,,,
2816,,,,
2817,,,,
2818,,,,
2819,,,,
2820,30,-1,30,-1
2821,20,60,20,-1
2822,,,,
2823,,-1,,-1
2824,,-1,,-1
2825,,-1,,-1
2826,,,,
2827,,,,
2828,,,,
2829,,,,
2830,,,,
2831,,,,
2832,,,,
2833,,,,
2834,,,,
2835,,,,
1,,,,
3,,,,
5,,,,
7,,,,
16,,,,
27,,,,
55,,,,
56,,,,
57,,,,
58,,,,
60,,,,
61,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
75,,,,
76,,,,
77,,,,
78,,,,
81,,,,
83,,,,
84,,,,
85,,,,
107,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
129,,,,
130,,,,
152,,,,
153,,,,
155,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
167,,,,
173,,,,
177,,,,
181,,,,
182,,,,
187,,,,
194,,,,
396,,,,
399,,,,
400,,,,
401,,,,
404,,,,
407,,,,
412,,,,
415,,,,
419,,,,
421,,,,
422,,,,
423,,,,
424,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
438,,,,
439,,,,
440,,,,
