term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_sov,N_HB_OD_All_sov,0.08207241755942422,0.00780274226084273,10.518406839002784,0
N_HB_OD_Short_sov,N_HB_OD_All_sov,0.08207241755942422,0.00780274226084273,10.518406839002784,0
N_HB_OD_Long_hov2,N_HB_OD_Long_hov2,0.22832727929744806,0.013766745972470473,16.5854211121522,0
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.195857398353464,0.017690704498504944,11.071203996992661,0
N_HB_OME_All_hov2,N_HB_OME_All_hov,0.27108319532192965,0.0068704493830091815,39.45639945944819,0
N_HB_OME_All_hov3,N_HB_OME_All_hov,0.27108319532192965,0.0068704493830091815,39.45639945944819,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.027039879750944986,0.008744250551055932,3.0923038621851617,0.00199
N_HB_OMED_All_hov2,N_HB_OMED_All_hov2,0.36987290643379,0.03091120048116736,11.965659718040875,0
alpha,NA,0.11746163147891298,0.3719948191752429,-10.763987082695902,0
gamma,NA,1.016931306671883,0.1760709743632587,5.775689663497935,0
r_sq,NA,0.5579174803562394,NA,NA,NA
