term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_Long_auto,0.02871755796412462,0.002910229351951291,9.867798888383033,0
N_HB_OD_Long_hov3,N_HB_OD_Long_auto,0.02871755796412462,0.002910229351951291,9.867798888383033,0
N_HB_OD_Long_sov,N_HB_OD_Long_auto,0.02871755796412462,0.002910229351951291,9.867798888383033,0
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.0726188076302007,0.007824147999182305,9.281369375654709,0
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.15819845161422788,0.007817626584119884,20.236122806834988,0
N_HB_OME_All_hov2,N_HB_OME_All,0.005118878149560912,0.002340214366143175,2.1873543824094863,0.02874
N_HB_OME_All_hov3,N_HB_OME_All,0.005118878149560912,0.002340214366143175,2.1873543824094863,0.02874
N_HB_OME_All_sov,N_HB_OME_All,0.005118878149560912,0.002340214366143175,2.1873543824094863,0.02874
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.013105908100363835,0.006111645745241479,2.1444155382481194,0.03202
N_HB_K12_All_hov2,N_HB_K12_All_auto,0.047467567128713174,0.0037273555312614427,12.734918021798904,0
N_HB_K12_All_hov3,N_HB_K12_All_auto,0.047467567128713174,0.0037273555312614427,12.734918021798904,0
N_HB_K12_All_sov,N_HB_K12_All_auto,0.047467567128713174,0.0037273555312614427,12.734918021798904,0
alpha,NA,0.0578457194868497,0.27181572042495505,-16.022660862632698,0
gamma,NA,1.3611008200807533,0.12879699191379954,10.567799758799511,0
r_sq,NA,0.2724016516312514,NA,NA,NA
